[Profiler] Pipeline IA tomo: 13.7817 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 13.0015 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 12.1225 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 15.5895 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 16.4156 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 12.7033 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 12.6663 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 13.0703 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 14.442 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 12.6436 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 11.4085 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 13.5639 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 15.8321 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 13.4828 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 12.8765 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 12.6962 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 11.7664 ms | Denoise: ON | VSR (0)
